"Date","Time, GMT+11:00","Water Content, m?/m? (SEN S/N: 9833752, LBL: 10cmBG)"
30-01-2013,03:24:33,0.2109
30-01-2013,04:24:34,0.2102
30-01-2013,05:24:35,0.2095
30-01-2013,06:24:36,0.2087
30-01-2013,07:24:37,0.2080
30-01-2013,08:24:38,0.2080
30-01-2013,09:24:39,0.2080
30-01-2013,10:24:40,0.2073
30-01-2013,11:24:41,0.2058
30-01-2013,12:24:42,0.2044
30-01-2013,13:24:43,0.2015
30-01-2013,14:24:44,0.1978
30-01-2013,15:24:45,0.1942
30-01-2013,16:24:46,0.1899
30-01-2013,17:24:47,0.1855
30-01-2013,18:24:48,0.1819
30-01-2013,19:24:49,0.1790
30-01-2013,20:24:50,0.1775
30-01-2013,21:24:51,0.1761
30-01-2013,22:24:52,0.1753
30-01-2013,23:24:53,0.1746
31-01-2013,00:24:54,0.1739
31-01-2013,01:24:55,0.1724
31-01-2013,02:24:56,0.1724
31-01-2013,03:24:57,0.1717
31-01-2013,04:24:58,0.1717
31-01-2013,05:24:59,0.1710
31-01-2013,06:25:00,0.1702
31-01-2013,07:25:01,0.1702
31-01-2013,08:25:02,0.1702
31-01-2013,09:25:03,0.1688
31-01-2013,10:25:04,0.1673
31-01-2013,11:25:05,0.1659
31-01-2013,12:25:06,0.1637
31-01-2013,13:25:07,0.1608
31-01-2013,14:25:08,0.1579
31-01-2013,15:25:09,0.1557
31-01-2013,16:25:10,0.1514
31-01-2013,17:25:11,0.1470
31-01-2013,18:25:12,0.1441
31-01-2013,19:25:13,0.1405
31-01-2013,20:25:14,0.1390
31-01-2013,21:25:15,0.1376
31-01-2013,22:25:16,0.1368
31-01-2013,23:25:17,0.1368
01-02-2013,00:25:18,0.1361
01-02-2013,01:25:19,0.1354
01-02-2013,02:25:20,0.1354
01-02-2013,03:25:21,0.1347
01-02-2013,04:25:22,0.1339
01-02-2013,05:25:23,0.1339
01-02-2013,06:25:24,0.1332
01-02-2013,07:25:25,0.1332
01-02-2013,08:25:26,0.1332
01-02-2013,09:25:27,0.1332
01-02-2013,10:25:28,0.1332
01-02-2013,11:25:29,0.1339
01-02-2013,12:25:30,0.2443
01-02-2013,13:25:31,0.2480
01-02-2013,14:25:32,0.2443
01-02-2013,15:25:33,0.2400
01-02-2013,16:25:34,0.2371
01-02-2013,17:25:35,0.2334
01-02-2013,18:25:36,0.2313
01-02-2013,19:25:37,0.2298
01-02-2013,20:25:38,0.2298
01-02-2013,21:25:39,0.2313
01-02-2013,22:25:40,0.2356
01-02-2013,23:25:41,0.2400
02-02-2013,00:25:42,0.2407
02-02-2013,01:25:43,0.2400
02-02-2013,02:25:44,0.2400
02-02-2013,03:25:45,0.2385
02-02-2013,04:25:46,0.2378
02-02-2013,05:25:47,0.2363
02-02-2013,06:25:48,0.2356
02-02-2013,07:25:49,0.2334
02-02-2013,08:25:50,0.2327
02-02-2013,09:25:51,0.2327
02-02-2013,10:25:52,0.2320
02-02-2013,11:25:53,0.2291
02-02-2013,12:25:54,0.2276
02-02-2013,13:25:55,0.2276
02-02-2013,14:25:56,0.2262
02-02-2013,15:25:57,0.2247
02-02-2013,16:25:58,0.2233
02-02-2013,17:25:59,0.2196
02-02-2013,18:26:00,0.2160
02-02-2013,19:26:01,0.2138
02-02-2013,20:26:02,0.2124
02-02-2013,21:26:03,0.2109
02-02-2013,22:26:04,0.2102
02-02-2013,23:26:05,0.2095
03-02-2013,00:26:06,0.2095
03-02-2013,01:26:07,0.2080
03-02-2013,02:26:08,0.2080
03-02-2013,03:26:09,0.2073
03-02-2013,04:26:10,0.2073
03-02-2013,05:26:11,0.2066
03-02-2013,06:26:12,0.2066
03-02-2013,07:26:13,0.2066
03-02-2013,08:26:14,0.2066
03-02-2013,09:26:15,0.2073
03-02-2013,10:26:16,0.2058
03-02-2013,11:26:17,0.2058
03-02-2013,12:26:18,0.2037
03-02-2013,13:26:19,0.2022
03-02-2013,14:26:20,0.2000
03-02-2013,15:26:21,0.1986
03-02-2013,16:26:22,0.1971
03-02-2013,17:26:23,0.1949
03-02-2013,18:26:24,0.1928
03-02-2013,19:26:25,0.1913
03-02-2013,20:26:26,0.1899
03-02-2013,21:26:27,0.1891
03-02-2013,22:26:28,0.1884
03-02-2013,23:26:29,0.1877
04-02-2013,00:26:30,0.1877
04-02-2013,01:26:31,0.1870
04-02-2013,02:26:32,0.1862
04-02-2013,03:26:33,0.1855
04-02-2013,04:26:34,0.1848
04-02-2013,05:26:35,0.1840
04-02-2013,06:26:36,0.1840
04-02-2013,07:26:37,0.1840
04-02-2013,08:26:38,0.1840
04-02-2013,09:26:39,0.1840
04-02-2013,10:26:40,0.1840
04-02-2013,11:26:41,0.1833
04-02-2013,12:26:42,0.1811
04-02-2013,13:26:43,0.1804
04-02-2013,14:26:44,0.1782
04-02-2013,15:26:45,0.1775
04-02-2013,16:26:46,0.1761
04-02-2013,17:26:47,0.1761
04-02-2013,18:26:48,0.1739
04-02-2013,19:26:49,0.1732
04-02-2013,20:26:50,0.1717
04-02-2013,21:26:51,0.1702
04-02-2013,22:26:52,0.1702
04-02-2013,23:26:53,0.1695
05-02-2013,00:26:54,0.1688
05-02-2013,01:26:55,0.1681
05-02-2013,02:26:56,0.1681
05-02-2013,03:26:57,0.1673
05-02-2013,04:26:58,0.1673
05-02-2013,05:26:59,0.1673
05-02-2013,06:27:00,0.1666
05-02-2013,07:27:01,0.1666
05-02-2013,08:27:02,0.1673
05-02-2013,09:27:03,0.1673
05-02-2013,10:27:04,0.1666
05-02-2013,11:27:05,0.1659
05-02-2013,12:27:06,0.1652
05-02-2013,13:27:07,0.1630
05-02-2013,14:27:08,0.1608
05-02-2013,15:27:09,0.1572
05-02-2013,16:27:10,0.1543
05-02-2013,17:27:11,0.1506
05-02-2013,18:27:12,0.1477
05-02-2013,19:27:13,0.1456
05-02-2013,20:27:14,0.1426
05-02-2013,21:27:15,0.1419
05-02-2013,22:27:16,0.1412
05-02-2013,23:27:17,0.1405
